offensive,text
0,ליסאנדרו מרטינז
0,אם לאוטרו מרטינז היה מבקיע זה היה קלי קלות
1,מה הם מטומטמים?
0,מה הוא השיג איתם? 
0,"פורטוגל נותנת את המפתחות לדור זהב שהוא אחד הדורות הטובים בהיסטוריה שלה, למאמן שהוא מומחה בהחרבת דורות זהב. פשוט הזוי."
0,"עם מאמן נורמלי פורטוגל במונדיאל האחרון היו מגיעים לחצי עם פוטנציאל לגמר (צרפת עם פוטנציאל נמוך יותר מפורטוגל לדעתי, רק אמבפה באמת מפחיד שם), עם מרטינז ספק אם הם יעברו את הרבע במונדיאל וביורו. "
0,מרסלו או רוברטו קרלוס?לטעמי מרסלו כי הוא הביא הרבה יותר למועדון
0,חולצה של סרג'י רוברטו עם חתימה כמה הייתם משלמים
0,ליסנדרו מרטינז
0,אמליאנו מרטינז
0,שאלה| האם צריך למחזר?
0,האם צריך למחזר?
0,אם אתם לא מסכימים משום מה בואו נתווכח
0,"אישית אני לא ממחזר כי המחזורית ממש רחוקה מהבית, אבל אין לי שום דבר נגד מיחזור... אני מודע לכך שיש הרבה נזק סביבתי שגם נגרם תוך כדי המחזור עם ההובלה והתהליך עצמו של העיבוד לחומרי גלם של המוצר שממחזרים.. אבל לא התעמקתי בנושא מספיק בשביל להגיד מה עדיף - למחזר או לא למחזר"
0,"העיקר שטרחת לחשוב שיש גם צד שני, הרוב לא עושים את זה"
0,העיקר שטרחת לחשוב שיש גם צד שני
0,תמיד יש צד שני חח
0,בסרטון השתדלתי להביא את כל הטיעונים של הצד השני כי ברשת בדרך כלל מביאים רק את הצד הראשון
0,חשוב לתת לציבור את התמונה המלאה
0,כל החרא הולך לאוקיאנוס מחזור זה שטיפת מוח שנועדה לבזבז זמן
0,חמודה מקלידה
0,"אין איפה למחזר דברים שבאמת חשוב למחזר כמו סוללות ומכשירי חשמל אבל הוווו בואו תמחזרו בקבוקי פלסטיק כדי שלתאגידים יהיה אפילו זול יותר לייצר את המשקאות הקלים המטונפים שאתם צורכים. בואו תמחזרו נייר ונבזבז כמויות של אנרגיה כדי לעבד את הנייר הממוחזר כדי שלתאגידים יהיה יותר זול, למרות שכולנו יודעים שאפילו לא צריך עצים כדי לייצר נייר, אפשר בקלות להשתמש בעשבים, אבל למי אכפת מהסביבה? אכפת לנו רק מהעלות."
1,זה כי קפיטליסטים חזירים עוינק עוינק שמנים עם כרס וחליפה יקרה שאוכלים פלאפאל ונוזל להם טחינה על הכרס והמזדיינת בתחת שלהם את הטחינה באמצעות פועל מדוכא שמת מרעב בגלל הקפיטליזם החזירי והכסף ששולט על הכל
0,וואלה עכשיו גם ראיתי את הסרטון
1,מי זה האוטיסט הזה למה הוא ממלמל שטויות
0,סוף סוף מישו אומר את האמת
0,שאלה| מעבר מבסיס לבסיס לוגריתמים
0,מעבר מבסיס לבסיס לוגריתמים
0,"יש את הקטע של מעבר מבסיס לבסיס לפי נוסחה נכון? את הנוסחה הבנתי, אבל איך יודעים לאיזה בסיס להעביר? "
0,"אנחנו בוחרים כל בסיס שנרצה או שיש במשוואה ""רמזים""?"
0,"למשל התרגיל הזה, איך אני יודעת לאיזה בסיס להעביר?"
0,מעבר מבסיס אוקטלי לבינארי
0,בדידה נסיגה הסבר מעבר אלגברי
0,מעבר לתשובה שלא הבנתי (חוקי לוגים)
0,דוד גריסרו
0,בדידה הסבר מעבר
0,מעבר מתמטי
0,איך מסבירים מעבר כזה בהוכחה?
0,עזרה| קניית מחשב נייד
0,קניית מחשב נייד
0,"שימושים - לימודים , תכנות וגיימינג "
0,שם פרטי מורט
0,"אני מוציא את זה בתקווה שזה לא ישאר איתי יותר, מאחר ואני החלטתי לחיות בלי שום במה לרגש שלילי."
0,"עברתי וחוויתי הרבה חרא בחיים ואחרי שנפלתי יותר ויותר עמוק לתהום, שיניתי גישה, הרגשות היחידים שאני נותן להם במה זה צחוק, אהבה (טבע, לא אנשים), שמחה..."
1,"מן הסתם שמה שאני מעשן עוזר לי לחיות את הגישה הזאת. וטוב לי כשאני מסוגל לחיות ככה. וכן, כשאין לי מה לעשן אז אני גמור בדיכאון ומעביר את רוב חיי בסבל גיהנום נפשי וכאב פיזי מתופעת חיטוט בעור."
0,"אבל לא מספיק שהרפואה לא יודעת כלום בבריאות הנפש, ואת זה שנים על תרופות למדתי, שלא עשו שום דבר טוב חוץ מלהוות נשק יום הדין. אז אני כבר ויתרתי על כל שטות שפסיכיאטר ינסה לתת לי."
0,"תרפיסטים מבינים ומכילים יותר, אבל זאת עבודה קשה וארוכה שהרבה כסף שאין הולך לשם."
0,"אבל הפאקינג חברה? אף אחד לא תומך בי בשיט, רק האחיות שלי מבינות אותי."
0,"חוץ מהן, כולם מצפים ממני לעבוד עם החוסר תפקוד שנובע בשינה לא מסודרת בין אם ברצון ובין אם בחוסר רצון."
1,"יש לך הפרעות נפשיות קשות ממש, או שאתה מפגר או שאתה אוטיסט תמות כבר"
1,"לכולם השרמוטות מפריע שאני מעשן, שאני אומר חד וחלק שעברתי כזה גיהנום שאם לא היה לי את הכמה שבועות או חצי חודש לעשן להירגע מכל העינויים, לא הייתי נמצא פה, העישון נתן לי את היכולת בכלל להיפטר מרגשות שליליים שרק הרעילו אותי ולהתמקד בטוב, לשבת בתחנה ולהתפעל מיופי של עץ לעומת לשבת בתחנה ולהיות בדיכאון, חרדה או עוד התקף גירוד תכוף."
1,"שלא לדבר על זה שאנשים שמכירים אותי מאז שאני ילד, בין אם זה חברים או משפחה, המון קראו לי נרקומן."
1,שאגב כשהייתי שותה אלכוהול בכמויות על בסיס יום יומי בתקופות אחרות לא שמעתי שקראו לי אלכוהוליסט.
1,"כי החברה המסריחה הזאת מתהדרת במוסריות ולא לגזענות ולא ללהטבופוביה, בזמן שדורכים פה על ציבור שלם של מתמודדי נפש, מקבלים פה יחס מחריד וחוסר הבנה והכלה טוטאלי. ולאף אחד זה לא מזיז, זה מקבל פחות רייטינג בחדשות הרי."
1,"לא משנה כמה חרא אכלת בחיים, לא משנה אם היית ככה מלמות, לא אכפת לאף אחד שמצאת מה עוזר לך. לא אכפת לאף אחד שמאז שאתה מעשן כל ההתנהגויות האובדניות נעלמו, התיאבון חוזר לאט לאט."
1,"שמים עליך תג של נרקומן כי שנים, וזה רק בעולם המודרני, האכילו את כולם כמה שזה מסוכן. כשאפילו במזבחים בארץ מצאו כדים עם קנאביס. אי אפשר למות מזה וכל ה""תופעות לוואי"" שיש למכון מור להגיד על הצמח זה לא מגרד את התופעות לוואי של תרופות פסיכיאטריות שדוחפים כאילו כלום."
1,"למה כשזאת קבוצה טחונה בארץ אז לכולם חשוב שלא יפגעו בהם אפילו לא העלבה, אבל כשזה אנשים שקופים בלי כסף ובלי חיים, הזונות האלה חושבים שעלינו אפשר לדרוך ולהעליב ולתת הרצאות על איך נכון לחיות."
0,יאללה צבועים שמתהדרים בעליונות מוסרית בשביל האגו שלהם.
1,מעדיף לחוות גזענות על רקע יום יומי הייתי סובל הרבה פחות.
0,"קיצר הוצאתי מקווה שלא אחשוב על זה יותר, שיהיה לנו שבוע טוב וחיובי."
0,זה רע שאני מניפולטיבית ולא אכפת לי מהרגשות של האדם? מה זה אומר עליי בעצם
0,לאבא שלי לעולם לא היה אכפת ממני
0,תחרטט שיש לך פוסט טראומה מישהו מהפורום קיבל מרשם והוא גם מתמודד נפש
0,תחרטט שיש לך פוסט טראומה מישהו מהפורום קיבל על מרשם
0,"אין לי עניין לחיות תסמונות של פוסט טראומה, סבלתי מזה מספיק וזה חלף."
0, פורסם במקור על ידי morty_my_name
0,אבל זו הדרך היחידה לקבל מרשם
0,זה בגלל שהרופאים פה גרועים
0,"תעבור לחו""ל שם לרופאים אשכרה אכפת ממך"
0,שם פרטי אנטוניו
0,"מעניין, אתה בוחר לתת במה לחלק מהרגשות ולחלק מהרגשות אתה לא נותן במה ומדחיק? "
0,זה נשמע.... ממש ממש רע. 
0,"אתה יודע רגשות שליליים הם גם רגשות, הם נמצאים שם מסיבה מסויימת, הם לא בהכרח לרעתך. "
0,"אתה צריך ללמוד לנתב אותם לכיוון היציב במקום להדחיק אותם, אתה בעצם רק מחמיר לעצמך את הדיכאון. "
0,"אגב, איך אתה מצפה שאנשים יתמכו בך? "
0,"מישהו מתחיל איתך שיחה ואין שום דבר חדש בחייך שתוכל לעדכן אותו בו, "
0,אתה מביא כנראה אנרגיות שליליות לשיחה שרק תדכא את האדם מולך והוא יגיד לעצמו אוטומטית בראש שלהמשיך לדבר איתך זה כנראה לא רעיון חכם ויקצר את השיחה 
0,אתה לא יכול לצפות שכל העולם יתרפס בשבילך רק בגלל מה שעברת בחיים
0,"כולם עוברים דברים, ותאמין לי לא חסר שעברו גרוע ממך וחיו את חייהם למרות הקשיים באהבה."
0,"אני מעשן ונרגע מהן, זה לא הדחקה, זה פשוט הם עדיין שם, אבל אתה מאוד נרגע ואז הן נעלמות."
0,"בתור בן אדם שלא יודע לווסת את הרגשות שלו, ומושפע מרגשות של אחרים בגלל יתר אמפתיה, אני בוחר שלא לתת לרגשות האלה במה כי זה סתם מטלטל את היציבות הנפשית שלי וזורק אותי לתהומות. "
0,זאת גם הסיבה שאני לא מעוניין ולא מחפש שום קשר זוגי.
0,"ואני ממש לא מביא אנרגיות שליליות בשיחות, בחצי חודש שיש לי לעשן אני תקשורתי ומצחיק ואוהב לצחוק עם חברים ולחפור."
0,כשאין לי מה לעשן אני פחות יוצר שיחות אבל זורם ליציאות ושם אלכוהול (רק ליציאות די נדירות) עושה את השחרור.
0,"לא רק שאני לא נותן במה לרגשות השליליים האלה, אני גם לא מפגין אותם כלפי חוץ כי לפי הגישה שלי אני או מאוהב בטבע או מצחיק את עצמי בראש או סתם מבסוט."
1,לא מחפש שיתמכו בי מחפש שיפסיקו להיכנס לי לחיים להגיד מה הם היו עושים במקום כי הם כאלה מודל לחיקוי ועל הדרך לקרוא לי נרקומן. זה לא מקובל בשום חברה מתקדמת.
0,"ועל הדרך זורק את נושא האינדיבידואליזם, יש כאלה שמצליחים לחזור לתפקד, יש כאלה שקופים שעוד לא מצליחים לחזור לתפקוד אחרי הנפילות לתהום, אז למה כל הזמן חייבים לעשות לי פה השוואות."
0,הכרתי אנשים מתמודדים כל אחד וההפרעות שלו והמון סבלו שם גם מהחברה ומהמשפחה (ומן הסתם מהצוות כי הרבה עזבו את הטיפול (אשפוז) יום.
0,"יצאת מנקודת הנחה שעישון מדחיק ועשית מה שכל החברים שלי עושים, התחלת לתת לי את ההרצאות האלה, שהתרפיסט שלי בחיים לא אמר מילה מההרצאות האלה והוא מבסוט שיש לי לפחות משהו שעוזר, זה לא מדחיק זה עוזר להתמודד כי זה מרגיע."
0,נתת דוגמה יופי יופי למה שטענתי בפוסט תודה צדיק.
0,"מקווה שאולי שינית דעה של מישהו עם האשכול הזה, אני חושב שיש הרבה סטיגמות עדיין בנוגע לבעיות נפשיות וזה עוד לא מקבל את תשומת הלב הראויה"
0,ממש לא אמרתי שהעישון גורם להדחקה הזו
0,"אתה אמרת במילים שלך שאתה לא נותן במה לרגשות שליליים,  מילים יפות להדחקה "
0,"ואיכשהו התמסכנת בתגובה הזו יותר משאי פעם דמיינתי, מפתיע "
0,"לא נותן במה משמע לא נותן להם לטלטל לי את היציבות, אז אני בוחר להירגע במקום להתרגש מכל נאחס שיבוא אלי."
0,"מתחמק מעט,  חבל,  היית כל כך תוקפני בתגובה הקודמת שלך"
0,"אבל כן,  זו הדחקה.  תמשיך להתכחש לעובדה הזו"
0,מה שעושה לך טוב אח 
0,כולנו חולי נפש
0,במקרה יש לכם דיסקורד או משהו דומה למלב אל לב או שיחות נפש?
0,"שלום לכולם,"
0,"התחלתי לשמוע לאחרונה רעש מטריד של חריקות בתדר גבוה מהמחשב, פתחתי אותו וכשעצרתי את המאוורר הראשי הרעש נפסק, ככה שהבנתי שזה ממנו."
0,האם יש דרך להפסיק את הרעש?
0,המחשב שלי:
0,"או שהמיסב שלו גמור, או דורש קצת שמן, או שהוא סתם פוגע באיזה כבל רופף, או שאחד הלהבים סדוק ובמהירות גבוהה מתעוות ומגרד את המסגרת. מיליון ואחת סיבות לרעש, שאי אפשר לתאר במילים."
0,הקלטה תעזור אם אתה רוצה באמת למצוא את הגורם. 
0, פורסם במקור על ידי aviluler
0,תודה על המענה המהיר.
0,נראה לי כבר כדאי לי לקנות חדש מאשר להתעסק עם הגורם לרעש. ניסיתי להקליט אבל לא שומעים טוב.
0,"מצאתי שני מאווררים ב- new egg ששלחת שיש גם ב ksp, אז אני מניח שהם מתאימים (יותר נוח לי לקנות שם):"
0,איך הם? יש עדיפות לאחד על השני? (אחד קצת יותר זול)
0,איך אני יודע לאיזה רמת קירור אני צריך למעבד שלי?
0,קירור למעבד
0,עזרה| סדרות- מציאת נוסחה לפי מקום לאיבר כללי
0,סדרות- מציאת נוסחה לפי מקום לאיבר כללי
0,צריך עזרה באיך לעשות את סעיף ב.
0,מציאת נוסחה להעתקה לינארית
0,"סדרות, מציאת n"
0,סדרות - כלל נסיגה לאיבר כללי
0,אז איך אני מגיע לזה?
0,מציב את הביטוי שקיבלת ל-$b_n$ ועושה את האלגברה.
0,איזה ביטוי אני אמור להציב
0, פורסם במקור על ידי שוקיה
0,סדרות-טור הנדסי
0,סדרות חשבוניות
0,אומרים לי כששולחים לי הודעות בוואטספ יש וי אחד 
0,כשאני נכנס לטלפון בוואטספ אין סימן של התראות
0,רק כאשר אני נכנס לאפליקציה עצמה פתאום הוא מתחיל לקבל הודעות חדשות
0,זה נכון לכל האפליקציות פייסבוק אינסטגרם וכו' וכו'
0,"מה זה כו, וכו."
0,האפליקצות שאמרת זה של מטה😐
0,לא מקבל התראות מהם פשוט ומאוד כמה אפליקציות
0,איזה עוד אפליקציות?
0,דיון| מתי אמונה בדת תיעלם?
0,מתי אמונה בדת תיעלם?
0,"איזה אירוע צריך כדי שהאמונה בדתות תיעלם סופית? אולי רק כשנעזוב את כדור הארץ? או שפשוט לאט לאט תיעלם? מתי האנושות תיתפקח ותבדוק את הסיפורים האלה על הישות הזאת, באמצעות כך שנפסיק בבת אחת לעבוד אותה, ולא נתייחס לשום דבר שבני אדם כתבו לפני אלפי שנים, ונראה מה קורה? צריך איזה גל רציני וזורם כדי לעשות כזה דבר. אולי מתישהו זה יקרה?"
0,מוות קליני הוא ההוכחה לכך לבני האדם הם צמאי אמונה
0,מה הטענה הכי חזקה שלכם לאי אמונה בבורא?
0,השוואה בין אמונה באלוהים לאמונה בחייזרים
0,למה אנשים סבורים שאלוהים אמונה ודת קשורים?
0,שמח בחלקי
0,היא לא תיעלם לעולם
0, פורסם במקור על ידי שמח בחלקי
0,למה שלא? זאת בחירה של בני אדם
0,האם צריך לאסור על לימוד אמונה במוסדות חינוך חילוניים?
0,האם חקרתם ולמדתם בנושאי אמונה?
0,אמונה של ניצולת שואה
0,"אתאיזם זה סה""כ אמונה כמו דת"
0,מפרטי מחשב
0,מהו התקציב המרבי לרכישת המחשב? האם מתאפשרת חריגה במידת הצורך?
0,מתי מתוכננת רכישת המחשב?
0,"(נסו לא לתכנן יותר מדי זמן קדימה - קחו בחשבון שמלאי ומחירים משתנים, מוצרים חדשים יוצאים לשוק וכו')"
0,החודש הזה
0,"מה השימושים במחשב? (ציינו בפירוט מה תעשו עם המחשב, אילו תוכנות/משחקים תפעילו וכו'):"
0,"(גיימינג קל/כבד, עריכה, סטרימינג, עבודה משרדית, תכנות, צפייה בסרטים וכו'..)"
0,האם יש חלקים שאין צורך לכלול במפרט?​
0,מעל טרה בייט
0,האם יש צורך בציוד היקפי? האם הציוד ההיקפי נכלל בתקציב המחשב?
0,"(מקלדת/עכבר/אוזניות/רמקולים/פד/מסך וכו'. פרטו מהם הדרישות שלכם מהציוד, לדוגמא גודל מסך/מקלדת מכנית וכו')"
0,לא אין צורך
0,ציינו את הרזולוציה וקצב הרענון של המסך שבבעלותכם/תרצו לרכוש או ציינו את דגם המסך:
0,האם יש צורך במערכת הפעלה חוקית כחלק מהמפרט?
0,כן ווינדוס פרו חוקי
0,האם יש העדפות ספיציפיות למארז?
0,האם יש צורך בכונן דיסקים?
0,(רוב המארזים המודרנים כיום מגיעים ללא אפשרות לכונן דיסקים)
0,האם יש חשיבות לשמירה על שדרוג עתידי?
0,האם אפשרי לבצע משלוח?
0,אין צורך
0,האם קיימת אפשרות לרכישה באילת?
0,הערות/בקשות נוספות:
0,מפרט זה הורכב ב - www.tms.co.il - רשת חנויות המחשבים האמינה והמקצועית בישראל
0,קירור למעבד:
0,לוח אם:
0,ספק כח:
0,כרטיס מסך:
0,הרכבת מחשב:
0,הרכבת כסף (חינם! בהזמנת מחשב חדש)
0,מתחייבים למחיר משתלם ביותר עבור מפרט זהה.
0,שם פרטי רועי
0,"בבקשה,הצעה מאיתנו"
0, פורסם במקור על ידי zetex
0,פרסום| הליכוד 🚨 גלית דיסטל היא שרת ההסברה
0,הליכוד 🚨 גלית דיסטל היא שרת ההסברה
0,המשפחה של גלית דיסטל חוגגת בלשכה
0,"גלית דיסטל מהליכוד נגד לפיד: ""רודף אחרי תשושי נפש מהקהילה הלהט""בית"""
0,"ח''כ גלית דיסטל (הליכוד): אצלנו זה תליון. אצלם זה טקסים פגאניים. """
0,"דיסטל אטבריאן: ""הליכוד מתחזק בזכות משפט נתניהו, אנשים מבינים שעבדו עליהם"""
0,"פרסום| הממשלה ממשיכה להתנפח: גלית דיסטל - שרת ההסברה, מאי גולן - שרה במשרד רה""מ"
0,"הממשלה ממשיכה להתנפח: גלית דיסטל - שרת ההסברה, מאי גולן - שרה במשרד רה""מ"
0,"הליכוד תמיד אמרו שאצלם לא ""דוקרים בגב"". גלית דיסטל כנראה כבר לא חושבת"
0,"מאי גולן לאחר עדות ""הסיגרים והשמפניות"": ""לא מכירה אדם פחות נהנתן מנתניהו"""
0,בסוף היא תתפוצץ
0,מרוב ג'ובים לא רואים יער
0,בקצב הזה יפצלו את משרד החקלאות למשרד הפירות ומשרד הירקות כדי לתת עוד ג'ובים
0,יצא לי לעבוד במשרד החקלאות בבית דגן האנשים פשוט חיים את החלום
0,מה אמסלם קיבל בסוף?
0,כולם היו בשקט אצל לפיד פתאום הם התעוררו.
0,"ח""כ גלית דיסטל אטבריאן: ""איתמר בן גביר עשה דברים מדהימים, אני גאה בו"""
0,גלית דיסטל טוענת שלפיד לא חושב באמת מה שהוא אומר שהוא חושב שהוא מצייץ
0,גלית דיסטל כותבת
0,"ח""כ מאי גולן תוקפת את בנט: ""אני לא איילת החיילת ודודי אמסלם לא מתן הצייתן"""
0,מידע| כל מי ששבר לסת לבחורה הזין לא עומד יותר
0,כל מי ששבר לסת לבחורה הזין לא עומד יותר
0,"היועמ""שית אישרה לגנץ למנות רמטכ""ל: ""צה""ל עומד בפני אתגרים ביטחוניים חריגים"""
0,חודש הגאווה עומד להיגמר וזה מפחיד אותי :(
0,"לירז עומד להיות אבא, אבל גם אמא 🏳️*🌈 | ארון הקודש"
0,מידע| חזרתי מהבאן השלישי ברציפות
0,חזרתי מהבאן השלישי ברציפות
0,תודה רבה למנהלים
0,מקווה שפעם הבאה תיהיו טובים יותר ולא תתנהגו כמו מנהלי קייטנות
0,כשאני פותח מלא אשכלות ברציפות
0,אנכי תוקע את הקרואסון השלישי שלי
0,שבת שלום!!! מחר מקום ויהיה היום השלישי לבחירות מלמדת דיבןרים
0,הקפה השלישי שלי היום
0,מקווה שתקבלי שוב
0,מה כבר עשית ילדה רעה של טיק טוק
0,מקווה שהמנהלים יתנו אותך
0, פורסם במקור על ידי קאט
0,הייתי בטיקטוק 
0,בגלל זה קיבלתי באן
0,הפורום של טיפו מתאים לך
0,איכ איזה ישן זה
0,תחיית המתים
1,אתה מת?
0,לא אתה קמת לתחייה
0,אני לא
0,כי אני תמיד הייתי חיה (תרתי משמע)
0,אין בנות בכספ
0,אני יכולה להוכיח שכן
0,איך בדיוק
1,תמונה של הזין שאין לי
0,המציאות של המימד השלישי הנמוך
0,ההבדל בין החורבן השני לשלישי הוא שבחורבן השלישי היו יחסית הרבה יותר ברירות
0,מפגשים מהסוג השלישי
0,מלאכי השלום החזירו אותי מהבאן
0,דיון| הבדיקה המשולבת לקורונה ושפעת מעודדת היפוכונדריה
0,הבדיקה המשולבת לקורונה ושפעת מעודדת היפוכונדריה
0,סטיב קירש מפרט מדוע החיסון לקורונה מסוכן
0,מחקר מציע: שפעת היא מחלה חמורה ומסוכנת יותר אצל ילדים בהשוואה לקורונה
0,מרגיש שיש שינוי באולפני החדשות בנוגע לקורונה
0,מאות חולים חרדים מאומן זייפו בדיקות שליליות לקורונה
0,מי התחסן
0,כמה עמוק אתם מכניסים את הבדיקה ביתית?
0,חיובי לקורונה
0,מוכרי פלאפל בסיכון מוגבר לקורונה
0,וריאנט חדש לקורונה עשוי לגלות עמידות לחיסון
0,דרך של מכשירים שונים ברשת לשתף מידע זה עם זה. זה מאפשר למכשירים לתקשר גם אם המכשירים הם בחומרה שונה ומפעילים תוכנות שונות.
0,ההגדרה טובה מצאתי בעברית ותרגמתי אשמח אם מישהו יכול להסתכל 
0,התחלת תואר בלי להיות סגור עליו
0,לא סגור על הבחירה אם לעשות תואר במדמח או לא
0,לא סגור על התואר שבחרתי - עזרתכם בבקשה
0,"לא יודע למה פירסמת פה, אבל שיהיה."
0,פריקה: למה הורים לא מספיק אחראים?
0,למה הורים לא מספיק אחראים?
0,היו מלא פעמים שהורים לא היו אחראים והילדים שלהם נפגעו מזה
0,למשל הילדים טבעו בבריכה
0,או שבגלל ההורים מישהו אחר נפגע
0,למשל כמה פעמים שאחרים רכבו בירידה חדה ביום הכיפורים וילדים צצו משום מקום הם כמעט שברו את העצמות
0,דת או גיל זה כלום לעומת חינוך הורים
0,"אין דבר כזה גורל, אתם אחראים לגורל שלכם"
0,יעוץ שיתוף דיון >> הורים
0,גם חוסר בדמות הורית כלשהי נותן את נזקיו לילד. הורים מתגרשים פה על ימין ועל שמאל כשהילד עוד מתפתח.
0,אפשר לשאול למה אנשים לא אחראיים בכללי
0,וזה כבר יותר נתון שאפשר לנתח. 
0,"אבל זה תלוי אופי, תלוי ערכים, תלוי מוסר, אנשים גדולים באופן מסויים וזה לא תמיד באופן חיובי. "
0,או שזה סתם להט הרגע והם שקעו בשיחה יותר מדי
0,יש מיליון ואחד סיבות..
0,אוקיי אבל זה לא קשור למה שכתבתי
0,מה זה להט הרגע?
0,"להט הרגע,  לדוגמה,  הביאו לך מתנה ואתה מתרגש כי זה בדיוק מה שרצית. "
0,באותו רגע לא תשים לב באמת לדברים אחרים חוץ מהמתנה 
0,אה דיברת על זה
0,אני יודעת מה זה להט הרגע
0,אז למה שאלת בפירוש
0,"""מה זה להט הרגע""? אם את יודעת מה זה להט הרגע"
0,הייתי בלהט הרגע
0,אם את אומרת 😉
0,בך 
0,הייתי בלהט הרגע בי? איזה כיף
0,אני מאוהבת בשלדים
0,"גם אני,  יש לי אוסף גולגולות בחדרי"
0,זה גם דוגמה לחוסר אחריות שגורמת נזק. הורים זה דבר לא אחראי אבל אין כלכך איך לאכוף את זה. גם הרוב זה נובע מטעויות או סתם פרימיטיביות.
0,לא מבין הורים שנותנים לילד שלהם ללכת לקרבי למרות שיודעים שהוא עם מטען גם כ
0,הורים ומצב כלכלי
0,הורים שמסכימים לילדים שלהם טיקטוק הורים כושלים
0,"פרסום| ""הרוצחים של בעלי השתחררו אחרי שנה וחצי של מאסר""."
0,"""הרוצחים של בעלי השתחררו אחרי שנה וחצי של מאסר""."
1,זקן עם כתר
0,"מצמרר: ""בעלי ניהל רומן עם חברתי הטובה אחרי החתונה שלנו"""
0,עאלק בן גביר יעשה סדר
0,"דורש הרבה כוח לדבר על נושא אישי כל כך בצורה עניינית, אבל עצוב אם עדיין ישתחררו בכל זאת.."
0,זה לא קשור לאיתמר 
0,זה קרה בעבר 
0,היא ח''כ מהמפלגה שלו שמספרת סיפור אישי.
0,אתה מכיר את הנסיבות של השחרור שלהם ? איך יכול להיות שהם שוחררו כל כך מהר ?
0,לא מובן 
0,אני מתאר לעצמי שאולי מדובר על עסקת של שיחרור כלשהי או משהו...
0,איך קרה שהציבור מממן את הבונוס של בעלי ישרוטל?
0,"הנשיא ביידן: ,, אנחנו נרדוף את הרוצחים המטונפים שעשו את הפיגוע ''"
0,עוד קטטה לאוסף: בעלי עסקים רבים מכות ברחובות
0,פרסום| ראש הממשלה במסר לאשכנזים מבוהלים: ''אנחנו שולטים''
0,ראש הממשלה במסר לאשכנזים מבוהלים: ''אנחנו שולטים''
0,ממשל ביידן במסר ללשכת ראש הממשלה: רסנו בנייה בהתנחלויות
0,בנט ראש הממשלה
0,הכלב הקטן ראש הממשלה
0,בנט התהפך כמו סטייק ועכשיו הוא ראש הממשלה חחח
0,"הצד החילוני השפוי אומר ""לא"" לממשלת חראדים קצבאות"
0,"בקצרה: ""תקפצו לנו"""
1,"תפסיק להשתמש במונחים של אשכנזים ומזרחים, זה מעודד פילוג חברתי ומשדר מסר רע לציבור ולילדים שגולשים באתר."
0,צודק 🤗 סולח לי?
1,הצד החילוני שלך מעדיף ממשלת תומכי טרור בראשות מפלגות מחבלים שאידים?
0,שם פרטי עמוס
0,שם פרטי おはよう三
0,פותח האשכול בעד שנאה ופילוג ונגד ממלכתיות
0,פותח האשכול הוא שמאלני 
0,פותח האשכול הוא שמאלני
0,שמאל רדיקלי נגד הציונות נגד הכיבוש נגד האפרטהייד בעד שחרור פלסטין
1,אתה פייק
0,תפסיק לדבר ככה אתה פוגע בי
0,ראש הממשלה בנט😂 יום זעם למטבח ערבי יוש ביום ג'
0,ראש הממשלה נפתלי בנט מודה לראש האופוזיציה נתניהו על הכשרת רעמ
0,ראש הממשלה בנט והעוזרת עוברים על נאום
0,להקיא 😂 ראש הממשלה בנט: ''תעזבו את משפחת ביבי מהפגנות ומחאות''
0,"פרסום| שבוע הבא משחק ידידות בין פריז סן זרמן לנאסר הסעודית, לא ידוע עם מסי ישחק"
0,"שבוע הבא משחק ידידות בין פריז סן זרמן לנאסר הסעודית, לא ידוע עם מסי ישחק"
0,"אם ומסי ישחק לפי דעתי זה היה אונס, במיוחד שאמבפה עכשיו בטופ שלו ."
0,"אני לא רואה את נאסר הסעודית באמת מנצחת , בשום צורה!"
0,למה פריז לא מצליחים לנצח בלי מסי
0,פאריס סן גרמן הולכת לזרוק את מסי בשביל אמבפה
0,פריז מסי והמונדיאל
0,מסי הפסיד לערב הסעודית
0,זה משחק ידידות
1,למי אכפת ימזדיין בתחת
0,נראה לך שמסי ורונאלדו הם כמו כל הבנסונים למיניהם?
0,"עדין יש לזה משמעות , משחק ראשון שלו בקבוצה הזאת והוא ירצה להוכיח את עצמו ."
0,0 משמעות
0,אני אתפלא אם מסי ואמבפה יפתחו בכלל
0,מסי במשחקי ידידות ובמשחקים רשמיים השנה
0,פריז סן ג'רמן מחטיאים פנדל
0,אוטובוס נכנס לתוך בניין בירושלים
0,ערבים תקפו חרדים בגבעת אולגה בירושלים. השוטרים השמאלנים ירו רימון הלם על...
0,ערבים ירו על אוטובוס בירושלים
0,"פרסום| גפני מאיים: ""נסגור חשבון עם ראשי ערים שלא יממנו חינוך חרדי"""
0,"גפני מאיים: ""נסגור חשבון עם ראשי ערים שלא יממנו חינוך חרדי"""
0,משה גפני לרשויות השמאלנים: ''תורידו פרופיל - נסגור איתכם חשבון''
0,"גפני : ""נסגור את כבישי ישראל בשבת"""
0,"מנכ""לים, ראשי ערים, פעילי מחאה, בן של ראש ממשלה: ההדבקה ההמונית בפגסוס"
0,אשכרה דיקטטורה חראדית
0,שם פרטי נועם
0,הוא מדבר כאילו הוא יודע חשבון
0,כמו שצריך..
0,כמה כסף אתה עושה פסיבי?
0,בגלל זה אני לא מצביע לגוש הימין 
